"status","trial_name","task","episode_count","result"
"RAN_FAIL","bytedance__sonic_28040bdd_c9e5b0__uRNViWo","bytedance__sonic_28040bdd_c9e5b0f6","178","AgentTimeoutError"
"COMPLETE_FAIL","bytedance__sonic_9a1c1488_f8ba97__tZgicgp","bytedance__sonic_9a1c1488_f8ba977b","82","0.0"
"RAN_FAIL","ggml-org__llama.cpp_212f4521_990__fpb8kRN","ggml-org__llama.cpp_212f4521_990e4d96","216","AgentTimeoutError"
"PASS","lynx-family__lynx_5a49d2c1_17bee__gULwKMg","lynx-family__lynx_5a49d2c1_17bee8a0","123","1.0"
"PASS","maaxyz__maaframework_170af58b_e7__Qc7qeJJ","maaxyz__maaframework_170af58b_e78524c8","143","1.0"
"COMPLETE_FAIL","maaxyz__maaframework_43749f2b_80__9wrKUk9","maaxyz__maaframework_43749f2b_803c78ea","25","0.0"
"COMPLETE_FAIL","microsoft__retina_5e7be1fd_c6e26__oDBDDVz","microsoft__retina_5e7be1fd_c6e26519","87","0.0"
"COMPLETE_FAIL","nextlevelbuilder__goclaw_0881d7f__VwB3rNo","nextlevelbuilder__goclaw_0881d7fc_7fa2d201","112","0.0"
"COMPLETE_FAIL","nextlevelbuilder__goclaw_419935b__Qj6emWv","nextlevelbuilder__goclaw_419935b9_3cbdd8d7","510","0.0"
"COMPLETE_FAIL","nixopus__nixopus_58967754_119995__YegWkLR","nixopus__nixopus_58967754_119995e5","8","0.0"
"PASS","open-policy-agent__opa_1897f8c2___J6TSoZQ","open-policy-agent__opa_1897f8c2_1ac64ef1","95","1.0"
"COMPLETE_FAIL","open-policy-agent__opa_5e57a275___abz2kZR","open-policy-agent__opa_5e57a275_e0d66617","123","0.0"
"PASS","openthread__openthread_1f218fd0___QocarDH","openthread__openthread_1f218fd0_f1794af0","112","1.0"
"COMPLETE_FAIL","projectdiscovery__nuclei_17e9f42__duUDia9","projectdiscovery__nuclei_17e9f429_bde02720","139","0.0"
"RAN_FAIL","protocolbuffers__protobuf_08244d__V3ZmdKi","protocolbuffers__protobuf_08244d7a_ab14c0f8","186","AgentTimeoutError"
"PASS","rancher__fleet_36d9b971_c1848e0d__kBdhHb5","rancher__fleet_36d9b971_c1848e0d","98","1.0"
"COMPLETE_FAIL","rancher__rancher_1757a541_471379__fr3kXwQ","rancher__rancher_1757a541_471379ae","7","0.0"
"COMPLETE_FAIL","rancher__rancher_1ed0b488_7be514__dnNQkUE","rancher__rancher_1ed0b488_7be51434","133","0.0"
"COMPLETE_FAIL","rudrankriyam__app-store-connect-__cQhzUFu","rudrankriyam__app-store-connect-cli_066f0ed0_34f7484a","51","0.0"
"COMPLETE_FAIL","rudrankriyam__app-store-connect-__zqmJgbu","rudrankriyam__app-store-connect-cli_0fe62cdf_5ef4ffae","89","0.0"
"PASS","runatlantis__atlantis_0ad6fc00_1__x5Y5iqt","runatlantis__atlantis_0ad6fc00_1ff1c1d1","182","1.0"
"COMPLETE_FAIL","runatlantis__atlantis_2fd36a9e_d__nMoA5bt","runatlantis__atlantis_2fd36a9e_df9d6b7a","40","0.0"
"COMPLETE_FAIL","seaweedfs__seaweedfs_156e1a6e_ec__YFQq47u","seaweedfs__seaweedfs_156e1a6e_ecadeddc","78","0.0"
"COMPLETE_FAIL","smartcontractkit__chainlink_10b4__eYnKtYE","smartcontractkit__chainlink_10b486b7_61c19e70","69","0.0"
