task_name,trial_name,episode_count,result,trial_dir,trajectory_path,openclaw_output_path,openclaw_session_path
c9s__bbgo_15f59ef4_85320527,c9s__bbgo_15f59ef4_85320527__MTQ5Sgt,0,,T:\AgentProjects\20260408SWEBench\harbor_jobs\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\c9s__bbgo_15f59ef4_85320527__MTQ5Sgt,,,
kubernetes__release_9d42037a_572035f6,kubernetes__release_9d42037a_572__75m9VRQ,6,0.0,T:\AgentProjects\20260408SWEBench\harbor_jobs\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\kubernetes__release_9d42037a_572__75m9VRQ,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\kubernetes__release_9d42037a_572035f6\raw\trajectory.json,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\kubernetes__release_9d42037a_572035f6\raw\openclaw-output.txt,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\kubernetes__release_9d42037a_572035f6\raw\openclaw-session.jsonl
lemonade-sdk__lemonade_0a0e4869_b989f4d1,lemonade-sdk__lemonade_0a0e4869___unceX8S,174,0.0,T:\AgentProjects\20260408SWEBench\harbor_jobs\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\lemonade-sdk__lemonade_0a0e4869___unceX8S,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\lemonade-sdk__lemonade_0a0e4869_b989f4d1\raw\trajectory.json,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\lemonade-sdk__lemonade_0a0e4869_b989f4d1\raw\openclaw-output.txt,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\lemonade-sdk__lemonade_0a0e4869_b989f4d1\raw\openclaw-session.jsonl
lemonade-sdk__lemonade_0b4e77cd_10db1baf,lemonade-sdk__lemonade_0b4e77cd___GdwFWPD,75,1.0,T:\AgentProjects\20260408SWEBench\harbor_jobs\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\lemonade-sdk__lemonade_0b4e77cd___GdwFWPD,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\lemonade-sdk__lemonade_0b4e77cd_10db1baf\raw\trajectory.json,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\lemonade-sdk__lemonade_0b4e77cd_10db1baf\raw\openclaw-output.txt,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\lemonade-sdk__lemonade_0b4e77cd_10db1baf\raw\openclaw-session.jsonl
lightningnetwork__lnd_2aec8f33_8ec11635,lightningnetwork__lnd_2aec8f33_8__c5pSFYL,48,1.0,T:\AgentProjects\20260408SWEBench\harbor_jobs\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\lightningnetwork__lnd_2aec8f33_8__c5pSFYL,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\lightningnetwork__lnd_2aec8f33_8ec11635\raw\trajectory.json,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\lightningnetwork__lnd_2aec8f33_8ec11635\raw\openclaw-output.txt,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\lightningnetwork__lnd_2aec8f33_8ec11635\raw\openclaw-session.jsonl
lynx-family__lynx_20307ab3_3ea797af,lynx-family__lynx_20307ab3_3ea79__ZH5Wsy5,33,0.0,T:\AgentProjects\20260408SWEBench\harbor_jobs\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\lynx-family__lynx_20307ab3_3ea79__ZH5Wsy5,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\lynx-family__lynx_20307ab3_3ea797af\raw\trajectory.json,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\lynx-family__lynx_20307ab3_3ea797af\raw\openclaw-output.txt,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\lynx-family__lynx_20307ab3_3ea797af\raw\openclaw-session.jsonl
manticoresoftware__manticoresearch_27f5d482_a8159410,manticoresoftware__manticoresear__V7zntss,72,0.0,T:\AgentProjects\20260408SWEBench\harbor_jobs\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\manticoresoftware__manticoresear__V7zntss,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\manticoresoftware__manticoresearch_27f5d482_a8159410\raw\trajectory.json,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\manticoresoftware__manticoresearch_27f5d482_a8159410\raw\openclaw-output.txt,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\manticoresoftware__manticoresearch_27f5d482_a8159410\raw\openclaw-session.jsonl
measure-sh__measure_2d069404_bc46a22d,measure-sh__measure_2d069404_bc4__ojXT8yd,29,0.0,T:\AgentProjects\20260408SWEBench\harbor_jobs\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\measure-sh__measure_2d069404_bc4__ojXT8yd,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\measure-sh__measure_2d069404_bc46a22d\raw\trajectory.json,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\measure-sh__measure_2d069404_bc46a22d\raw\openclaw-output.txt,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\measure-sh__measure_2d069404_bc46a22d\raw\openclaw-session.jsonl
memgraph__memgraph_2bcba710_83c494f7,memgraph__memgraph_2bcba710_83c4__hg5Yu5N,5,0.0,T:\AgentProjects\20260408SWEBench\harbor_jobs\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\memgraph__memgraph_2bcba710_83c4__hg5Yu5N,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\memgraph__memgraph_2bcba710_83c494f7\raw\trajectory.json,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\memgraph__memgraph_2bcba710_83c494f7\raw\openclaw-output.txt,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\memgraph__memgraph_2bcba710_83c494f7\raw\openclaw-session.jsonl
microsoft__onnxruntime-genai_8a4f64e0_80dd5583,microsoft__onnxruntime-genai_8a4__iSE7Z8e,11,0.0,T:\AgentProjects\20260408SWEBench\harbor_jobs\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\microsoft__onnxruntime-genai_8a4__iSE7Z8e,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\microsoft__onnxruntime-genai_8a4f64e0_80dd5583\raw\trajectory.json,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\microsoft__onnxruntime-genai_8a4f64e0_80dd5583\raw\openclaw-output.txt,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\microsoft__onnxruntime-genai_8a4f64e0_80dd5583\raw\openclaw-session.jsonl
musescore__musescore_504e682f_9c603b63,musescore__musescore_504e682f_9c__3rKN3cb,250,0.0,T:\AgentProjects\20260408SWEBench\harbor_jobs\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\musescore__musescore_504e682f_9c__3rKN3cb,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\musescore__musescore_504e682f_9c603b63\raw\trajectory.json,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\musescore__musescore_504e682f_9c603b63\raw\openclaw-output.txt,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\musescore__musescore_504e682f_9c603b63\raw\openclaw-session.jsonl
nextcloud__desktop_0d6b474d_ef3d1236,nextcloud__desktop_0d6b474d_ef3d__puE3VZg,193,AgentTimeoutError,T:\AgentProjects\20260408SWEBench\harbor_jobs\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\nextcloud__desktop_0d6b474d_ef3d__puE3VZg,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\nextcloud__desktop_0d6b474d_ef3d1236\raw\trajectory.json,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\nextcloud__desktop_0d6b474d_ef3d1236\raw\openclaw-output.txt,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\nextcloud__desktop_0d6b474d_ef3d1236\raw\openclaw-session.jsonl
nextlevelbuilder__goclaw_1c4dce0c_99dd363b,nextlevelbuilder__goclaw_1c4dce0__JSvRHaK,78,0.0,T:\AgentProjects\20260408SWEBench\harbor_jobs\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\nextlevelbuilder__goclaw_1c4dce0__JSvRHaK,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\nextlevelbuilder__goclaw_1c4dce0c_99dd363b\raw\trajectory.json,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\nextlevelbuilder__goclaw_1c4dce0c_99dd363b\raw\openclaw-output.txt,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\nextlevelbuilder__goclaw_1c4dce0c_99dd363b\raw\openclaw-session.jsonl
projectdiscovery__nuclei_2e5ed57b_3ec23a95,projectdiscovery__nuclei_2e5ed57__AGj5Rz9,13,0.0,T:\AgentProjects\20260408SWEBench\harbor_jobs\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\projectdiscovery__nuclei_2e5ed57__AGj5Rz9,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\projectdiscovery__nuclei_2e5ed57b_3ec23a95\raw\trajectory.json,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\projectdiscovery__nuclei_2e5ed57b_3ec23a95\raw\openclaw-output.txt,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\projectdiscovery__nuclei_2e5ed57b_3ec23a95\raw\openclaw-session.jsonl
protocolbuffers__protobuf_18da8e12_8bbb967a,protocolbuffers__protobuf_18da8e__PRfVyj3,35,1.0,T:\AgentProjects\20260408SWEBench\harbor_jobs\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\protocolbuffers__protobuf_18da8e__PRfVyj3,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\protocolbuffers__protobuf_18da8e12_8bbb967a\raw\trajectory.json,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\protocolbuffers__protobuf_18da8e12_8bbb967a\raw\openclaw-output.txt,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\protocolbuffers__protobuf_18da8e12_8bbb967a\raw\openclaw-session.jsonl
rancher__fleet_1696ab59_955bbd7f,rancher__fleet_1696ab59_955bbd7f__Gf2sgLf,33,0.0,T:\AgentProjects\20260408SWEBench\harbor_jobs\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\rancher__fleet_1696ab59_955bbd7f__Gf2sgLf,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\rancher__fleet_1696ab59_955bbd7f\raw\trajectory.json,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\rancher__fleet_1696ab59_955bbd7f\raw\openclaw-output.txt,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\rancher__fleet_1696ab59_955bbd7f\raw\openclaw-session.jsonl
rancher__fleet_3093a8dd_722788e3,rancher__fleet_3093a8dd_722788e3__r5GjhJr,74,1.0,T:\AgentProjects\20260408SWEBench\harbor_jobs\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\rancher__fleet_3093a8dd_722788e3__r5GjhJr,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\rancher__fleet_3093a8dd_722788e3\raw\trajectory.json,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\rancher__fleet_3093a8dd_722788e3\raw\openclaw-output.txt,T:\AgentProjects\20260408SWEBench\episode_exports\monthly-swebench-openclaw-glm5-rerun29-netfixed-20260413-080423\rancher__fleet_3093a8dd_722788e3\raw\openclaw-session.jsonl
